unique_id,site_id,check_event,collected_date,trap_days,notes
GC15H,GC15H,GC15H_CC_25Jul2021,7/25/2021,49,
GC15H,GC15H,GC15H_CC_11Sep2021,9/11/2021,47,
GC15H,GC15H,GC15H_CC_06Dec2021,12/6/2021,83,
GCBAC,GCBAC,GCBAC_CC_06Jun2021,6/6/2021,29,
GCBAC,GCBAC,GCBAC_CC_05Dec2021,12/5/2021,83,
GCBAR,GCBAR,GCBAR_CC_13Sep2021,9/13/2021,102,
GCBAR,GCBAR,GCBAR_CC_06Dec2021,12/6/2021,83,
GCBB,GCBB,GCBB_CC_12Sep2021,9/12/2021,97,
GCBB,GCBB,GCBB_CC_05Dec2021,12/5/2021,83,
GCBH,GCBH,GCBH_CC_06Jun2021,6/6/2021,30,
GCBH,GCBH,GCBH_CC_12Sep2021,6/12/2021,97,
GCBH,GCBH,GCBH_CC_05Dec2021,12/5/2021,83,
GCETRO,GCETRO,GCETRO_CC_14Sep2021,9/14/2021,103,
GCETRO,GCETRO,GCETRO_CC_06Dec2021,12/6/2021,82,
GCETCR,GCETCR,GCETCR_CC_14Sep2021,9/14/2021,103,
GCETCR,GCETCR,GCETCR_CC_06Dec2021,12/6/2021,82,
GCETRO,GCETRF,GCETRF_CC_13Sep2021,9/13/2021,104,
GCJH,GCJH,GCJH_CC_06Jun2021,6/6/2021,30,
GCJH,GCJH,GCJH_CC_12Sep2021,9/12/2021,97,
GCJH,GCJH,GCJH_CC_05Dec2021,12/5/2021,27,
GCTL,GCTL,GCTL_CC_06Dec2021,12/6/2021,82,
GCBAC,GCWP,GCWP_CC_13Sep2021,9/13/2021,97,
GCBAC,GCTC,GCTC_CC_06Jun2021,6/6/2021,29,
GCHR,GCHR,GCHR_CC_25Jul2021,7/25/2021,51,
GCHR,GCHR,GCHR_CC_10Sep2021,9/10/2021,46,humans_excluded
GCHR,GCHR,GCHR_CC_03Dec2021,12/3/2021,83,
GCHR,GCHR,GCHR_CC_08Dec2021,12/8/2021,5,
GCPP,GCPP,GCPP_CC_25Jul2021,7/25/2021,51,
GCPP,GCPP,GCPP_CC_10Sep2021,9/10/2021,46,
GCPP,GCPP,GCPP_CC_03Dec2021,12/3/2021,34,
GCC,GCC,GCC_CC_25Jul2021,7/25/2021,51,
GCC,GCC,GCC_CC_10Sep2021,9/10/2021,46,
GCRT,GCRT,GCRT_CC_25Jul2021,7/25/2021,51,
GCRT,GCRT,GCRT_CC_10Sep2021,9/10/2021,46,
GCRT,GCRT,GCRT_CC_03Dec2021,12/3/2021,83,
GCNRM,GCNRM,NRM_CC_29Jun2021,6/29/2021,21,
GCNRM,GCNRM,NRM_CC_27Jul2021,7/27/2021,25,
GCNRM,GCNRM,NRM_CC_17Sep2021,9/17/2021,52,
GCNRM,GCNRM,NRM_CC_02Dec2021,12/2/2021,74,
GCYL,GCYL,GCYL_CC_07Dec2021,12/7/2021,81,
GCNRB,GCNRB,NRL_CC_30Jun2021,6/30/2021,21,
GCNRB,GCNRB,NRL_CC_17Sep2021,9/17/2021,78,
GCNRB,GCNRB,NRL_CC_02Dec2021,12/2/2021,74,
